rev,workload,condition,sample,echoes,payload,cpu_ns,slices,vcsw,nvcsw,threads
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,7,100,115,8002428,515,515,0,145
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,8,100,115,8602629,569,565,4,163
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,9,100,115,7857367,522,514,8,145
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p115,discovery,10,100,115,8318888,537,533,4,145
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,0,100,4278,5556399,614,608,6,19
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,1,100,4278,5607649,595,593,1,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,2,100,4278,6720108,614,603,11,55
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,3,100,4278,7004589,617,597,20,73
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,4,100,4278,7361518,593,590,3,91
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,5,100,4278,7536048,587,583,4,109
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,6,100,4278,8339386,622,621,1,127
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,7,100,4278,9445597,602,601,1,145
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,8,100,4278,9733968,595,594,1,145
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,9,100,4278,9633808,616,609,7,145
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p4278,discovery,10,100,4278,9926157,592,575,17,163
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,0,100,297822,94565903,7195,7160,36,19
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,1,100,297822,94640329,7244,7198,47,37
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,2,100,297822,94683590,7192,7144,48,55
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,3,100,297822,94738111,7326,7285,41,73
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,4,100,297822,95422011,7243,7209,34,91
b5ece8566b49d96811dc24401dbe8825bf03b796,seer_dial_p297822,discovery,5,100,297822,98871505,7384,7304,80,109
